Run,BioSample,geo_loc_name_country_continent,geo_loc_name,Lat_Lon,Library Name,Organism,ReleaseDate,REPLICATE
SRR15198133,SAMN20296463,Surface,1307.0,Chihuahuan Desert,Clavascidium Lichen Biocrust 5,USA: Portrillo Basalt Field,32.11 N 107.02 W,VOLCL5,Rep 5
SRR15198134,SAMN20296462,Surface,1307.0,Chihuahuan Desert,Clavascidium Lichen Biocrust 4,USA: Portrillo Basalt Field,32.11 N 107.02 W,VOLCL4,Rep 4
SRR15198135,SAMN20296461,Surface,1307.0,Chihuahuan Desert,Clavascidium Lichen Biocrust 3,USA: Portrillo Basalt Field,32.11 N 107.02 W,VOLCL3,Rep 3
SRR15198136,SAMN20296460,Surface,1307.0,Chihuahuan Desert,Clavascidium Lichen Biocrust 2,USA: Portrillo Basalt Field,32.11 N 107.02 W,VOLCL2,Rep 2
SRR15198137,SAMN20296459,Surface,1307.0,Chihuahuan Desert,Clavascidium Lichen Biocrust 1,USA: Portrillo Basalt Field,32.11 N 107.02 W,VOLCL1,Rep 1
SRR15198138,SAMN20296458,Surface,1307.0,Chihuahuan Desert,Clavascidium Lichen Biocrust 04,USA: Portrillo Basalt Field,32.11 N 107.02 W,VOLCL0,Rep 4 Duplicate
SRR15198139,SAMN20296457,Surface,1313.0,Chihuahuan Desert,Peltula Lichen Biocrust 5,USA: Jornada LTER,32.51 N 106.74 W,JERPT5,Rep 5
SRR15198140,SAMN20296456,Surface,1313.0,Chihuahuan Desert,Peltula Lichen Biocrust 4,USA: Jornada LTER,32.51 N 106.74 W,JERPT4,Rep 4
SRR15198141,SAMN20296411,Surface,1296.0,Chihuahuan Desert,Dark Cyanobacterial Biocrust 1,USA: Tortugas Mountain,32.30 N 106.70 W,AMTDA1,Rep 1
SRR15198142,SAMN20296455,Surface,1313.0,Chihuahuan Desert,Peltula Lichen Biocrust 3,USA: Jornada LTER,32.51 N 106.74 W,JERPT3,Rep 3
SRR15198143,SAMN20296454,Surface,1313.0,Chihuahuan Desert,Peltula Lichen Biocrust 2,USA: Jornada LTER,32.51 N 106.74 W,JERPT2,Rep 2
SRR15198144,SAMN20296453,Surface,1313.0,Chihuahuan Desert,Peltula Lichen Biocrust 1,USA: Jornada LTER,32.51 N 106.74 W,JERPT1,Rep 1
SRR15198145,SAMN20296452,Surface,1313.0,Chihuahuan Desert,Moss Biocrust 5,USA: Jornada LTER,32.51 N 106.74 W,JERMO5,Rep 5
SRR15198146,SAMN20296451,Surface,1313.0,Chihuahuan Desert,Moss Biocrust 4,USA: Jornada LTER,32.51 N 106.74 W,JERMO4,Rep 4
SRR15198147,SAMN20296450,Surface,1313.0,Chihuahuan Desert,Moss Biocrust 3,USA: Jornada LTER,32.51 N 106.74 W,JERMO3,Rep 3
SRR15198148,SAMN20296449,Surface,1313.0,Chihuahuan Desert,Moss Biocrust 2,USA: Jornada LTER,32.51 N 106.74 W,JERMO2,Rep 2
SRR15198149,SAMN20296448,Surface,1313.0,Chihuahuan Desert,Moss Biocrust 1,USA: Jornada LTER,32.51 N 106.74 W,JERMO1,Rep 1
SRR15198150,SAMN20296447,Surface,1313.0,Chihuahuan Desert,Light Cyanobaterial Biocrust 5,USA: Jornada LTER,32.51 N 106.74 W,JERLA5,Rep 5
